sentence,sentiment,polarity,subjectivity,country
The Military of Kuwait traces its original roots to the Kuwaiti cavalrymen and infantrymen that used to protect Kuwait and its wall since the early 1900s,"Sentiment(polarity=0.125, subjectivity=0.3833333333333333)",0.125,0.383333333,Kuwait
The Military of Kuwait consists of several joint defense forces,"Sentiment(polarity=-0.05, subjectivity=0.05)",-0.05,0.05,Kuwait
Kuwait is divided into six governorates,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"Located in the north-east corner of the Arabian Peninsula, Kuwait is one of the smallest countries in the world in terms of land area","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"Kuwait has nine islands, all of which, with the exception of Failaka Island, are uninhabited","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Kuwait's Burgan field has a total capacity of approximately 70 billion barrels (1,"Sentiment(polarity=-0.2, subjectivity=0.675)",-0.2,0.675,Kuwait
The spring season in March is warm with occasional thunderstorms,"Sentiment(polarity=0.3, subjectivity=0.3625)",0.3,0.3625,Kuwait
"In 2014 Kuwait was the fourth country in the world in term of CO2 per capita emissions after Qatar, Curaçao and Trinidad and Tobago according to the World Bank","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"At present, there are five protected areas in Kuwait recognized by the IUCN","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"More than 363 species of birds were recorded in Kuwait, 18 species of which breed in the country","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,Kuwait
Kuwait's marine and littoral ecosystems contain the bulk of the country's biodiversity heritage,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Kuwait does not have any permanent rivers,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Kuwait relies on water desalination as a primary source of fresh water for drinking and domestic purposes,"Sentiment(polarity=0.2333333333333333, subjectivity=0.3666666666666667)",0.233333333,0.366666667,Kuwait
"In 1965, the Kuwaiti government commissioned the Swedish engineering company of VBB (Sweco) to develop and implement a plan for a modern water-supply system for Kuwait City","Sentiment(polarity=0.2, subjectivity=0.3)",0.2,0.3,Kuwait
"Kuwait's fresh water resources are limited to groundwater, desalinated seawater, and treated wastewater effluents","Sentiment(polarity=0.11428571428571428, subjectivity=0.3214285714285714)",0.114285714,0.321428571,Kuwait
"Kuwait has a petroleum-based economy, petroleum is the main export product","Sentiment(polarity=0.16666666666666666, subjectivity=0.3333333333333333)",0.166666667,0.333333333,Kuwait
"In the past five years, there has been a significant rise in entrepreneurship and small business start-ups in Kuwait","Sentiment(polarity=-0.041666666666666664, subjectivity=0.5083333333333333)",-0.041666667,0.508333333,Kuwait
"Kuwait is a major source of foreign economic assistance to other states through the Kuwait Fund for Arab Economic Development, an autonomous state institution created in 1961 on the pattern of international development agencies","Sentiment(polarity=0.08750000000000001, subjectivity=0.29999999999999993)",0.0875,0.3,Kuwait
In 2018 Kuwait enacted certain measures to regulate foreign labor,"Sentiment(polarity=0.04464285714285714, subjectivity=0.3482142857142857)",0.044642857,0.348214286,Kuwait
"Despite its relatively small territory, Kuwait has proven crude oil reserves of 104 billion barrels, estimated to be 10% of the world's reserves","Sentiment(polarity=-0.475, subjectivity=0.7)",-0.475,0.7,Kuwait
The Kuwait Investment Authority (KIA) is Kuwait's sovereign wealth fund specializing in foreign investment,"Sentiment(polarity=-0.125, subjectivity=0.125)",-0.125,0.125,Kuwait
"Kuwait has a leading position in the financial industry in the GCC; the abyss that separates Kuwait from its Persian Gulf neighbors in terms of tourism, transport, and other measures of diversification is absent in the financial sector","Sentiment(polarity=-0.041666666666666664, subjectivity=0.125)",-0.041666667,0.125,Kuwait
The historical preeminence of Kuwait (among the Persian Gulf monarchies) in finance dates back to the founding of the National Bank of Kuwait in 1952,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Kuwait has a large wealth-management industry that stands out in the region,"Sentiment(polarity=0.21428571428571427, subjectivity=0.42857142857142855)",0.214285714,0.428571429,Kuwait
"In recent years, Kuwaiti investment companies have invested large percentages of their assets abroad, and their foreign assets have become substantially larger than their domestic assets","Sentiment(polarity=0.017857142857142856, subjectivity=0.28071428571428575)",0.017857143,0.280714286,Kuwait
"Kuwait has a state-funded healthcare system, which provides treatment without charge to Kuwaiti nationals","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Kuwait has a growing scientific research sector,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Kuwait has the highest literacy rate in the Arab world,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
The public school system is undergoing a revamp due to a project in conjunction with the World Bank,"Sentiment(polarity=-0.0625, subjectivity=0.22083333333333333)",-0.0625,0.220833333,Kuwait
Tourism accounts for 1,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"The Amiri Diwan is currently developing the new Kuwait National Cultural District (KNCD), which comprises Sheikh Abdullah Al Salem Cultural Centre, Sheikh Jaber Al Ahmad Cultural Centre, Al Shaheed Park, and Al Salam Palace","Sentiment(polarity=0.08727272727272728, subjectivity=0.2309090909090909)",0.087272727,0.230909091,Kuwait
Kuwait has an extensive and modern network of highways,"Sentiment(polarity=0.1, subjectivity=0.31666666666666665)",0.1,0.316666667,Kuwait
The country's public transportation network consists almost entirely of bus routes,"Sentiment(polarity=0.0, subjectivity=0.3458333333333333)",0,0.345833333,Kuwait
There are two airports in Kuwait,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Kuwait has one of the largest shipping industries in the region,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Kuwait's 2018 population was 4,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
Expatriates in Kuwait account for around 70% of Kuwait's total population,"Sentiment(polarity=0.0, subjectivity=0.75)",0,0.75,Kuwait
Most Kuwaiti citizens are Muslim; it is estimated that 60%–65% are Sunni and 35%–40% are Shias,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,Kuwait
"Religion by Nationality in Kuwait (2018)[1]
","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,Kuwait
"Note:
– Christians from Asia in Kuwait mostly come from the Philippines, South Korea, and some from Indonesia, Malaysia, India and other countries","Sentiment(polarity=0.1875, subjectivity=0.4375)",0.1875,0.4375,Kuwait
"Kuwait's official language is Modern Standard Arabic, but its everyday usage is limited to journalism and education","Sentiment(polarity=-0.017857142857142856, subjectivity=0.2607142857142857)",-0.017857143,0.260714286,Kuwait
"Due to historical immigration, Kuwaiti Persian is used among Ajam Kuwaitis","Sentiment(polarity=-0.0625, subjectivity=0.1875)",-0.0625,0.1875,Kuwait
